Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
353,Aaron Nesmith,SF,23,IND,71,58,25,3.4,8.1,0.423,1.6,4.3,0.364,1.8,3.7,0.492,0.521,1.6,1.9,0.841,0.9,2.9,3.8,1.4,0.8,0.4,1.1,3.2,10.1,nesmiaa01
354,Raul Neto,PG,30,CLE,46,1,10,1.1,2.1,0.526,0.3,0.8,0.316,0.8,1.2,0.667,0.589,0.5,0.6,0.889,0.2,0.8,0.9,1.4,0.3,0.1,0.3,0.9,3,netora01
355,Georges Niang,PF,29,PHI,76,0,19.3,2.8,6.3,0.436,1.9,4.9,0.397,0.8,1.4,0.569,0.589,0.5,0.6,0.864,0.3,2.1,2.3,1,0.4,0.2,0.6,1.9,8,niangge01
356,Daishen Nix,PG,20,HOU,56,7,16,1.4,4.2,0.343,0.7,2.5,0.29,0.7,1.7,0.421,0.429,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1,4,nixda01
357,Zeke Nnaji,PF,22,DEN,50,5,13.5,2,3.4,0.576,0.3,1,0.269,1.7,2.4,0.708,0.616,0.8,1.2,0.672,1.2,1.3,2.5,0.3,0.3,0.4,0.5,1.9,5,nnajize01
358,Nerlens Noel,C,28,TOT,17,4,11.5,0.8,2.1,0.361,0.1,0.1,0.5,0.7,2,0.353,0.375,0.5,0.7,0.667,0.6,2.1,2.7,0.6,0.9,0.6,0.8,1.9,2.1,noelne01
358,Nerlens Noel,C,28,DET,14,3,10.9,0.9,2.1,0.4,0.1,0.1,0.5,0.8,2,0.393,0.417,0.5,0.7,0.7,0.5,2.1,2.6,0.5,0.9,0.6,0.6,1.8,2.3,noelne01
358,Nerlens Noel,C,28,BRK,3,1,14.3,0.3,2,0.167,0,0,,0.3,2,0.167,0.167,0.3,0.7,0.5,1,2,3,1,1,0.3,1.7,2.3,1,noelne01
359,Jaylen Nowell,SG,23,MIN,65,2,19.3,4.3,9.6,0.448,1,3.6,0.289,3.3,6,0.542,0.502,1.2,1.5,0.778,0.6,2.1,2.6,2,0.6,0.1,1,1.6,10.8,nowelja01
360,Frank Ntilikina,PG,24,DAL,45,3,11.8,0.9,2.5,0.36,0.3,1.3,0.25,0.6,1.2,0.481,0.425,0.4,0.6,0.704,0.1,1.1,1.3,1.2,0.3,0.1,0.6,1.3,2.6,ntilila01
361,Kendrick Nunn,SG-PG,27,TOT,68,2,13.6,2.7,6.4,0.428,1.1,3.1,0.355,1.6,3.3,0.498,0.515,0.4,0.5,0.829,0.2,1.3,1.5,1.2,0.4,0.1,0.9,0.9,7,nunnke01
361,Kendrick Nunn,SG,27,LAL,39,2,13.5,2.6,6.4,0.406,1.1,3.2,0.325,1.6,3.2,0.488,0.488,0.4,0.5,0.81,0.1,1.3,1.4,0.9,0.3,0.1,0.8,0.9,6.7,nunnke01
361,Kendrick Nunn,PG,27,WAS,29,0,13.7,2.9,6.3,0.457,1.2,3,0.398,1.7,3.3,0.51,0.552,0.4,0.5,0.857,0.3,1.3,1.6,1.7,0.6,0.1,1,1,7.4,nunnke01
362,Jusuf Nurkić,C,28,POR,52,52,26.8,5,9.7,0.519,0.8,2.3,0.361,4.2,7.4,0.567,0.561,2.4,3.7,0.661,2.2,6.9,9.1,2.9,0.8,0.8,2.3,3.6,13.3,nurkiju01
363,Jordan Nwora,SF,24,TOT,60,12,19,3,7,0.429,1.4,3.4,0.403,1.7,3.7,0.452,0.525,1.1,1.4,0.788,0.8,2.8,3.7,1.4,0.4,0.2,1.1,1.1,8.5,nworajo01
363,Jordan Nwora,SF,24,MIL,38,3,15.7,2,5.2,0.386,1.1,2.7,0.392,0.9,2.5,0.379,0.487,1,1.1,0.86,0.8,2.3,3.1,1,0.3,0.2,0.9,0.9,6,nworajo01
363,Jordan Nwora,SF,24,IND,22,9,24.7,4.8,10.2,0.467,1.9,4.5,0.414,2.9,5.7,0.508,0.558,1.4,1.9,0.714,0.9,3.7,4.6,2.1,0.5,0.3,1.3,1.5,12.8,nworajo01
364,Royce O'Neale,SF,29,BRK,75,53,31.8,3,7.8,0.389,2.1,5.5,0.392,0.9,2.3,0.382,0.527,0.7,0.9,0.725,0.7,4.3,5.1,3.7,0.8,0.7,1.5,3.2,8.9,onealro01
365,Chuma Okeke,SF,24,ORL,24,7,17.8,1.5,4,0.365,0.9,2.8,0.313,0.6,1.2,0.483,0.474,0.7,0.9,0.762,0.9,2.5,3.4,1.1,0.5,0.4,0.5,1.5,4.5,okekech01
366,Josh Okogie,SG,24,PHO,69,23,18.4,2.2,5.6,0.398,0.9,2.7,0.337,1.3,2.9,0.453,0.478,1.8,2.5,0.718,1.5,1.9,3.4,1.4,0.8,0.5,0.9,1.6,7.2,okogijo01
367,Onyeka Okongwu,C,22,ATL,78,17,23.1,3.9,6.2,0.639,0,0.1,0.3,3.9,6.1,0.646,0.642,1.9,2.5,0.784,2.7,4.5,7.2,1,0.7,1.3,1,3.2,9.9,okongon01
368,Isaac Okoro,SF,22,CLE,76,46,21.7,2.3,4.7,0.494,0.8,2.3,0.363,1.5,2.4,0.617,0.582,1,1.4,0.757,0.7,1.8,2.5,1.1,0.7,0.4,0.6,2.1,6.4,okorois01
369,KZ Okpala,PF,23,SAC,35,3,7.1,0.5,1.1,0.421,0.2,0.6,0.333,0.3,0.5,0.529,0.513,0.2,0.2,0.875,0.2,0.8,1,0.4,0.2,0.2,0.2,1.1,1.3,okpalkz01
370,Victor Oladipo,SG,30,MIA,40,2,26.4,3.6,9.2,0.387,1.5,4.7,0.309,2.1,4.5,0.469,0.466,1.5,1.9,0.773,0.4,2.7,3.1,3.4,1.3,0.3,2,2.3,10,oladivi01
371,Kelly Olynyk,C,31,UTA,66,66,28.5,4,8.1,0.493,1.4,3.5,0.391,2.6,4.6,0.569,0.577,2.9,3.4,0.857,1.2,4.9,6.1,3.6,0.9,0.5,2.4,3.5,12.2,olynyke01
372,Eugene Omoruyi,SF,25,TOT,40,6,16.1,2.5,5.7,0.443,0.6,2.2,0.281,1.9,3.5,0.547,0.498,1.3,1.9,0.68,1.1,1.7,2.8,0.7,0.7,0.1,0.9,2.3,7,omorueu01
372,Eugene Omoruyi,SF,25,OKC,23,2,11.8,1.9,4.1,0.468,0.3,1.3,0.258,1.6,2.7,0.571,0.511,0.7,1.2,0.607,1,1.3,2.3,0.5,0.6,0,0.7,2,4.9,omorueu01
372,Eugene Omoruyi,SF,25,DET,17,4,21.9,3.4,7.9,0.425,1,3.4,0.293,2.4,4.5,0.526,0.489,2,2.8,0.723,1.2,2.2,3.5,1,0.8,0.2,1.1,2.6,9.7,omorueu01
373,Cedi Osman,SF,27,CLE,75,0,20.1,3.1,6.9,0.448,1.5,4.1,0.367,1.6,2.8,0.564,0.556,1,1.4,0.692,0.3,1.9,2.3,1.5,0.5,0.1,0.7,1.6,8.6,osmande01
374,Kelly Oubre Jr.,SF,27,CHO,48,40,32.3,7.4,17.1,0.431,2.3,7.1,0.319,5.1,10,0.51,0.497,3.3,4.3,0.76,1.4,3.8,5.2,1.1,1.4,0.4,1.3,2.9,20.3,oubreke01
375,Chris Paul,PG,37,PHO,58,58,31.9,4.9,11.3,0.436,1.6,4.3,0.365,3.3,7,0.48,0.506,2.3,2.8,0.831,0.4,3.8,4.2,9,1.6,0.4,1.9,2.2,13.7,paulch01
376,Cameron Payne,PG,28,PHO,46,14,20.6,4,9.5,0.416,1.5,3.9,0.372,2.5,5.6,0.446,0.492,1,1.3,0.758,0.3,2,2.3,4.5,0.7,0.2,1.7,1.8,10.4,payneca01
377,Gary Payton II,PG,30,TOT,20,1,16.3,1.8,3,0.583,0.6,1.2,0.478,1.2,1.9,0.649,0.675,0.3,0.4,0.857,1,1.8,2.8,1.3,0.9,0.2,0.7,1.8,4.4,paytoga02
377,Gary Payton II,PG,30,POR,15,1,17,1.6,2.7,0.585,0.6,1.1,0.529,1,1.6,0.625,0.695,0.3,0.3,1,0.7,1.9,2.6,1.5,1.1,0.1,0.8,1.9,4.1,paytoga02
377,Gary Payton II,PG,30,GSW,5,0,14.2,2.2,3.8,0.579,0.4,1.2,0.333,1.8,2.6,0.692,0.632,0.4,0.6,0.667,2,1.4,3.4,0.8,0.4,0.4,0.2,1.2,5.2,paytoga02
378,Theo Pinson,SG,27,DAL,38,0,6.6,0.5,1.6,0.328,0.4,1.2,0.341,0.1,0.4,0.294,0.451,0.2,0.3,0.818,0.2,0.9,1.1,0.8,0.1,0,0.3,0.7,1.7,pinsoth01
379,Scotty Pippen Jr.,PG,22,LAL,6,0,5.3,0.7,2,0.333,0.2,0.5,0.333,0.5,1.5,0.333,0.375,0.8,1.5,0.556,0.3,0.3,0.7,0.3,0.3,0.2,0.3,0.5,2.3,pippesc02
380,Mason Plumlee,C,32,TOT,77,60,26.1,4.2,6.2,0.677,0,0,,4.2,6.2,0.677,0.677,2.5,4,0.633,2.9,6.1,9,3.1,0.6,0.6,1.5,2.7,10.9,plumlma01
380,Mason Plumlee,C,32,CHO,56,56,28.5,4.7,7.1,0.669,0,0,,4.7,7.1,0.669,0.669,2.8,4.6,0.605,3.3,6.3,9.7,3.7,0.6,0.6,1.6,2.9,12.2,plumlma01
380,Mason Plumlee,C,32,LAC,21,4,19.8,2.7,3.7,0.718,0,0,,2.7,3.7,0.718,0.718,1.9,2.5,0.769,1.8,5.4,7.2,1.7,0.5,0.5,1.4,2.3,7.2,plumlma01
381,Jakob Poeltl,C,27,TOT,70,69,26.8,5.5,8.7,0.632,0,0,0,5.5,8.7,0.633,0.632,1.7,2.8,0.593,3.3,5.8,9.2,2.8,0.9,1.2,1.8,2.7,12.7,poeltja01
381,Jakob Poeltl,C,27,SAS,46,46,26.1,5.2,8.4,0.616,0,0,0,5.2,8.4,0.618,0.616,1.7,2.8,0.605,3.3,5.7,9,3.1,0.8,1.1,2.1,2.6,12.1,poeltja01
381,Jakob Poeltl,C,27,TOR,24,23,28.1,6.1,9.2,0.661,0,0,,6.1,9.2,0.661,0.661,1.7,2.9,0.571,3.4,6,9.4,2.3,1.2,1.4,1.2,3,13.8,poeltja01
382,Aleksej Pokusevski,PF,21,OKC,34,25,20.6,3.2,7.3,0.434,1.1,3.1,0.365,2.1,4.3,0.483,0.51,0.6,1,0.629,1.3,3.4,4.7,1.9,0.6,1.3,1.3,1.7,8.1,pokusal01
383,Jordan Poole,PG,23,GSW,80,43,30.3,6.8,15.7,0.431,2.6,7.8,0.335,4.2,7.9,0.526,0.515,4.4,5,0.871,0.4,2.3,2.7,4.5,0.8,0.3,3.1,2.6,20.6,poolejo01
384,Kevin Porter Jr.,PG,22,HOU,58,58,34.2,6.6,15,0.441,2.4,6.6,0.366,4.2,8.5,0.499,0.521,3.4,4.3,0.782,1.3,4.1,5.4,5.7,1.4,0.3,3.2,2.6,19,porteke02
385,Michael Porter Jr.,SF,24,DEN,61,61,29.1,6.4,13.2,0.488,3,7.3,0.416,3.4,5.9,0.578,0.603,1.6,2,0.8,1,4.5,5.5,1,0.6,0.5,1.1,1.9,17.5,portemi01
386,Otto Porter Jr.,SF,29,TOR,8,2,18.3,1.9,3.8,0.5,0.8,2.1,0.353,1.1,1.6,0.692,0.6,1,1,1,0.8,1.6,2.4,1,1.4,0,0.5,0.9,5.5,porteot01
387,Bobby Portis,PF,27,MIL,69,21,26.1,5.7,11.4,0.496,1.3,3.7,0.368,4.3,7.8,0.556,0.554,1.4,1.8,0.768,2.2,7.4,9.7,1.5,0.4,0.2,1.1,1.7,14.1,portibo01
388,Kristaps Porziņģis,C,27,WAS,65,65,32.6,7.8,15.7,0.498,2.1,5.5,0.385,5.7,10.2,0.559,0.565,5.4,6.4,0.851,1.8,6.6,8.4,2.7,0.9,1.5,2.1,3,23.2,porzikr01
389,Micah Potter,PF,24,UTA,5,0,5.4,1.2,1.6,0.75,0.4,0.6,0.667,0.8,1,0.8,0.875,0,0,,0.2,0.4,0.6,0.6,0,0,0.2,0.6,2.8,pottemi01
390,Dwight Powell,C,31,DAL,75,63,19.3,2.6,3.6,0.732,0,0.1,0,2.6,3.5,0.746,0.732,1.5,2.2,0.667,2,2.2,4.1,0.9,0.6,0.3,0.9,2.8,6.7,poweldw01
391,Norman Powell,SG,29,LAC,58,8,26,5.5,11.6,0.476,2,4.9,0.404,3.6,6.8,0.528,0.561,3.6,4.5,0.815,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,16.7,powelno01
392,Jason Preston,PG,23,LAC,13,0,9.4,1.4,3.2,0.439,0.4,1.4,0.278,1,1.8,0.565,0.5,0,0.2,0,0.2,1.5,1.7,2.1,0.2,0,0.8,0.5,3.2,prestja01
393,Joshua Primo,SG,20,SAS,4,0,23.3,2.3,6.5,0.346,0.8,3,0.25,1.5,3.5,0.429,0.404,1.8,2.3,0.778,0.5,2.8,3.3,4.5,0.3,0.5,2.8,2,7,primojo01
394,Taurean Prince,SF,28,MIN,52,4,21.8,3.2,6.8,0.466,1.3,3.5,0.377,1.9,3.3,0.561,0.563,1.1,1.3,0.843,0.3,2.2,2.4,1.6,0.5,0.3,1.3,2.3,8.8,princta02
395,Payton Pritchard,PG,25,BOS,46,2,12.5,1.8,4.6,0.39,0.9,2.8,0.331,0.8,1.7,0.488,0.493,0.2,0.3,0.733,0.5,1,1.5,1,0.3,0,0.7,0.8,4.7,pritcpa01
396,Trevelin Queen,SG,25,IND,7,0,10,1,4.1,0.241,0.3,2.1,0.133,0.7,2,0.357,0.276,0.7,0.7,1,1.1,1.3,2.4,0.9,0.3,0.7,1,0.6,3,queentr01
397,Neemias Queta,C,23,SAC,4,0,6.3,1.5,2,0.75,0,0,,1.5,2,0.75,0.75,0,0.5,0,1,1.3,2.3,0.3,0,0.3,0.3,1.8,3,quetane01
398,Immanuel Quickley,PG,23,NYK,79,19,28.8,5.1,11.4,0.448,2,5.5,0.367,3.1,5.9,0.524,0.537,2.4,3,0.81,0.7,3.4,4.1,3.4,1,0.2,1.2,2,14.6,quickim01
399,Lester Quinones,SG,22,GSW,2,0,1.5,0,1,0,0,0.5,0,0,0.5,0,0,0.5,1,0.5,0,0.5,0.5,0,0,0,1,0,0.5,quinole01
400,Julius Randle,PF,28,NYK,77,77,35.5,8.5,18.6,0.459,2.8,8.3,0.343,5.7,10.3,0.553,0.536,5.2,6.9,0.757,1.8,8.1,10,4.1,0.6,0.3,2.8,3,25.1,randlju01
401,Austin Reaves,SG,24,LAL,62,20,28.7,4,7.6,0.523,1.3,3.4,0.394,2.7,4.3,0.625,0.61,3.6,4.1,0.868,0.5,2.5,3,3.3,0.5,0.3,1.6,1.7,12.9,reaveau01
402,Cam Reddish,SF,23,TOT,40,20,24.8,3.5,7.8,0.446,1.1,3.6,0.313,2.4,4.2,0.56,0.518,1.6,1.9,0.853,0.5,1.8,2.2,1.4,1,0.4,1.2,1.8,9.7,reddica01
402,Cam Reddish,SF,23,NYK,20,8,21.9,3.1,6.8,0.449,0.9,2.8,0.304,2.2,4,0.55,0.511,1.5,1.7,0.879,0.4,1.2,1.6,1,0.8,0.4,0.8,1.6,8.4,reddica01
402,Cam Reddish,SF,23,POR,20,12,27.6,3.9,8.8,0.443,1.4,4.4,0.318,2.5,4.4,0.568,0.523,1.8,2.1,0.833,0.6,2.3,2.9,1.9,1.2,0.3,1.6,2,11,reddica01
403,Davon Reed,SG,27,TOT,42,1,8.1,0.7,2,0.333,0.4,1.1,0.37,0.3,0.9,0.289,0.435,0.4,0.6,0.667,0.2,1.2,1.4,0.5,0.4,0.1,0.5,0.9,2.1,reedda01
403,Davon Reed,SG,27,DEN,35,1,9,0.7,2.3,0.313,0.5,1.3,0.364,0.3,1,0.25,0.413,0.4,0.6,0.75,0.3,1.3,1.6,0.5,0.4,0.1,0.6,1,2.3,reedda01
403,Davon Reed,SG,27,LAL,7,0,3.7,0.4,0.6,0.75,0.1,0.3,0.5,0.3,0.3,1,0.875,0.1,0.6,0.25,0.1,0.4,0.6,0.6,0.3,0,0,0.4,1.1,reedda01
404,Paul Reed,C,23,PHI,66,0,10.5,1.7,2.8,0.594,0,0.1,0,1.7,2.8,0.607,0.594,0.5,0.7,0.735,1.6,2.1,3.7,0.4,0.6,0.7,0.6,1.8,3.9,reedpa01
405,Naz Reid,C,23,MIN,68,11,18.4,4.6,8.5,0.537,1.1,3.2,0.346,3.5,5.3,0.653,0.602,1.3,1.9,0.677,1.1,3.8,4.9,1.1,0.6,0.8,1.4,2.6,11.5,reidna01
406,Jared Rhoden,SG,23,DET,12,0,10.8,0.8,2.3,0.37,0.2,1.1,0.154,0.7,1.2,0.571,0.407,0.5,0.5,1,0.8,1.3,2.1,0.3,0.2,0,0.3,1.4,2.3,rhodeja01
407,Nick Richards,C,25,CHO,63,9,18.7,3.1,4.9,0.629,0,0,1,3,4.9,0.627,0.63,2,2.7,0.744,2.3,4.1,6.4,0.6,0.2,1,0.9,2.4,8.2,richani01
408,Josh Richardson,SG,29,TOT,63,10,23.5,3.8,8.7,0.435,1.7,4.6,0.369,2.1,4.1,0.508,0.532,1.1,1.3,0.852,0.6,2,2.7,2.7,1,0.3,1.3,1.8,10.3,richajo01
408,Josh Richardson,SG,29,SAS,42,6,23.7,4.2,9.7,0.436,1.8,4.9,0.357,2.5,4.7,0.518,0.527,1.3,1.4,0.883,0.7,2.1,2.8,3.3,1,0.3,1.5,1.7,11.5,richajo01
408,Josh Richardson,SG,29,NOP,21,4,23.1,2.9,6.6,0.432,1.5,3.8,0.4,1.3,2.8,0.475,0.547,0.8,1,0.762,0.4,1.9,2.3,1.7,1.2,0.4,1,2.1,8,richajo01
409,Austin Rivers,SG,30,MIN,52,10,19.5,1.8,4,0.435,0.8,2.4,0.35,0.9,1.7,0.558,0.538,0.6,0.8,0.769,0.1,1.5,1.6,1.4,0.5,0.1,0.4,1.5,4.9,riverau01
410,Duncan Robinson,SF,28,MIA,39,0,16,2,5.4,0.368,1.5,4.4,0.335,0.5,1,0.513,0.505,0.6,0.7,0.923,0.2,1.4,1.6,1,0.3,0,0.6,1.7,6.1,robindu01
411,Mitchell Robinson,C,24,NYK,58,57,27,3.2,4.7,0.681,0,0,,3.2,4.7,0.681,0.681,1,2,0.492,4.4,4.9,9.2,0.9,0.9,1.8,0.7,2.7,7.3,robinmi01
412,Orlando Robinson,C,22,MIA,29,1,13.7,1.6,3,0.535,0,0.2,0,1.6,2.8,0.568,0.535,0.7,1,0.724,1.5,2.6,4.1,0.7,0.4,0.4,0.5,1.8,3.9,robinor01
413,Jeremiah Robinson-Earl,PF,22,OKC,41,19,18.8,2.6,5.7,0.455,0.9,2.6,0.333,1.8,3.2,0.554,0.53,0.8,1,0.825,1.7,2.5,4.2,1,0.6,0.3,0.5,1.6,6.9,robinje02
414,Isaiah Roby,PF,24,SAS,42,2,11.3,1.6,3.7,0.432,0.4,1.4,0.3,1.2,2.3,0.516,0.49,0.5,1,0.488,0.5,2,2.5,0.9,0.4,0.2,0.7,1.3,4.1,robyis01
415,David Roddy,PF,21,MEM,68,3,17.6,2.5,5.8,0.433,0.9,3,0.31,1.6,2.9,0.562,0.513,0.6,1,0.631,0.7,2,2.8,0.8,0.4,0.3,0.8,1.5,6.6,roddyda01
416,Ryan Rollins,PG,20,GSW,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1,0.3,0.8,1,0.5,0.1,0.1,1.3,0.8,1.9,rolliry01
417,Derrick Rose,PG,34,NYK,27,0,12.5,2.3,5.9,0.384,0.7,2.3,0.302,1.6,3.6,0.438,0.443,0.4,0.4,0.917,0.3,1.2,1.5,1.7,0.3,0.2,0.8,0.7,5.6,rosede01
418,Terrence Ross,SG,31,TOT,60,9,20.9,3.1,7.3,0.43,1.5,4.1,0.372,1.6,3.1,0.505,0.536,0.4,0.5,0.781,0.4,2.1,2.4,1.4,0.6,0.2,0.7,1.5,8.2,rosste01
418,Terrence Ross,SG,31,ORL,42,9,22.5,3.1,7.1,0.431,1.5,3.8,0.381,1.6,3.3,0.489,0.533,0.4,0.5,0.75,0.2,1.8,2,1.3,0.6,0.2,0.9,1.3,8,rosste01
418,Terrence Ross,SG,31,PHO,18,0,17.3,3.2,7.6,0.426,1.7,4.8,0.356,1.5,2.7,0.551,0.54,0.6,0.7,0.833,0.6,2.7,3.3,1.7,0.5,0.1,0.3,2.2,8.7,rosste01
419,Terry Rozier,SG,28,CHO,63,63,35.3,7.8,18.9,0.415,2.6,8,0.327,5.2,10.8,0.48,0.484,2.8,3.5,0.809,0.8,3.3,4.1,5.1,1.2,0.3,2.1,1.9,21.1,roziete01
420,Ricky Rubio,PG,32,CLE,31,0,16.7,1.8,5.2,0.356,0.6,2.5,0.263,1.2,2.7,0.44,0.419,0.8,1.1,0.788,0.3,1.8,2,3.3,0.8,0.2,0.9,1.5,5.2,rubiori01
421,D'Angelo Russell,PG,26,TOT,69,69,32.4,6.2,13.3,0.467,2.7,6.9,0.391,3.6,6.5,0.547,0.567,2.6,3.1,0.831,0.5,2.5,3,6.2,1,0.4,2.6,2,17.7,russeda01
421,D'Angelo Russell,PG,26,MIN,54,54,32.9,6.3,13.5,0.465,2.7,7,0.391,3.5,6.4,0.546,0.567,2.6,3.1,0.856,0.5,2.5,3.1,6.2,1.1,0.4,2.7,2.2,17.9,russeda01
421,D'Angelo Russell,PG,26,LAL,15,15,30.6,6.1,12.9,0.474,2.5,6.3,0.394,3.7,6.7,0.55,0.57,2.3,3.1,0.739,0.5,2.5,3,6.3,0.7,0.5,2.1,1.3,17,russeda01
422,Matt Ryan,SF,25,TOT,33,0,9.3,1.2,3.2,0.374,1,2.5,0.386,0.2,0.7,0.333,0.523,0.3,0.4,0.833,0.1,0.7,0.8,0.5,0.2,0,0.2,0.8,3.7,ryanma01
422,Matt Ryan,SF,25,LAL,12,0,10.8,1.3,4.1,0.306,1.1,2.9,0.371,0.2,1.2,0.143,0.439,0.3,0.4,0.8,0.2,1,1.2,0.3,0.2,0,0.3,1.2,3.9,ryanma01
422,Matt Ryan,SF,25,MIN,21,0,8.4,1.2,2.8,0.431,0.9,2.3,0.396,0.3,0.5,0.6,0.595,0.3,0.3,0.857,0.1,0.5,0.6,0.5,0.1,0,0.2,0.6,3.6,ryanma01
423,Domantas Sabonis,C,26,SAC,78,78,34.8,7.3,11.9,0.615,0.4,1.1,0.373,6.9,10.8,0.638,0.631,4.1,5.6,0.743,3.2,9.2,12.4,7.3,0.8,0.5,2.9,3.6,19.2,sabondo01
424,Luka Šamanić,PF,23,UTA,4,1,17.5,2.5,5.3,0.476,1,3,0.333,1.5,2.3,0.667,0.571,1.3,1.5,0.833,0,4.3,4.3,1.8,0.8,0.5,1.3,2.3,7.3,samanlu01
425,Dario Šarić,PF,28,TOT,56,12,14,2.2,4.8,0.457,0.8,2,0.387,1.4,2.8,0.506,0.537,1.1,1.3,0.824,0.9,2.6,3.5,1.3,0.3,0.1,1,1.8,6.2,saricda01
425,Dario Šarić,PF,28,PHO,37,12,14.4,2.1,4.8,0.427,0.7,1.9,0.391,1.3,2.9,0.45,0.503,1,1.2,0.818,1.1,2.8,3.8,1.5,0.4,0.1,1,1.9,5.8,saricda01
425,Dario Šarić,PF,28,OKC,19,0,13.2,2.4,4.7,0.517,0.8,2.2,0.381,1.6,2.5,0.638,0.607,1.3,1.6,0.833,0.6,2.3,2.9,0.8,0.3,0,1,1.5,7,saricda01
426,Olivier Sarr,C,23,OKC,7,0,10,0.7,2.1,0.333,0.1,0.9,0.167,0.6,1.3,0.444,0.367,0.4,0.4,1,1.4,0.9,2.3,0.4,0,0.7,0.4,1.6,2,sarrol01
427,Jordan Schakel,SF,24,WAS,2,0,3,0.5,1,0.5,0.5,0.5,1,0,0.5,0,0.75,0,0,,0,0,0,0.5,0.5,0,0,0.5,1.5,schakjo01
428,Admiral Schofield,PF,25,ORL,34,0,11.5,1.4,3,0.471,0.6,1.9,0.349,0.8,1.1,0.667,0.578,0.5,0.6,0.895,0.6,1.1,1.6,0.8,0.2,0.1,0.2,1.6,4,schofad01
429,Dennis Schröder,PG,29,LAL,66,50,30.1,4.1,9.8,0.415,1.1,3.4,0.329,3,6.4,0.461,0.472,3.3,3.8,0.857,0.3,2.2,2.5,4.5,0.8,0.2,1.7,2.2,12.6,schrode01
430,Jay Scrubb,SG,22,ORL,1,0,3,1,1,1,0,0,,1,1,1,1,0,0,,0,1,1,0,0,0,0,1,2,scrubja01
431,Dereon Seabron,SG,22,NOP,5,0,2.4,0.4,1,0.4,0,0,,0.4,1,0.4,0.4,0,0,,0.2,0,0.2,0,0,0,0,0.2,0.8,seabrde01
432,Alperen Şengün,C,20,HOU,73,70,29,5.9,10.7,0.556,0.2,0.8,0.321,5.7,9.9,0.574,0.567,2.7,3.8,0.711,3.2,5.6,8.8,3.9,0.9,0.9,2.5,3.4,14.8,sengual01
433,Collin Sexton,SG,24,UTA,48,15,23.9,4.9,9.8,0.506,1,2.5,0.393,3.9,7.2,0.546,0.558,3.4,4.1,0.819,0.8,1.4,2.2,2.9,0.6,0.1,1.8,2.3,14.3,sextoco01
434,Landry Shamet,SG,25,PHO,37,7,20.5,2.8,7.5,0.378,1.9,5.1,0.374,0.9,2.5,0.385,0.504,1.2,1.3,0.878,0.3,1.3,1.6,2.2,0.6,0.1,0.9,1.6,8.7,shamela01
435,Day'Ron Sharpe,C,21,BRK,46,2,11.2,1.9,3.5,0.546,0.1,0.2,0.545,1.8,3.3,0.546,0.564,0.7,1.1,0.615,2.1,2,4.1,0.7,0.3,0.6,0.9,1.8,4.7,sharpda01
436,Shaedon Sharpe,SG,19,POR,78,13,22,3.7,7.8,0.474,1.2,3.4,0.365,2.5,4.4,0.558,0.553,0.9,1.3,0.707,0.8,2.1,2.9,1.1,0.4,0.3,1,1.7,9.6,sharpsh01
